Database,Pipeline,Total Questions,Correct,Accuracy,Avg Time (s)
student_transcripts_tracking,Single Agent,64,31,48.4%,4.2
student_transcripts_tracking,Multi Agent,64,39,60.9%,10.1
student_transcripts_tracking,Multi Agent RAG,64,40,62.5%,21.6
concert_singer,Single Agent,32,18,56.2%,2.6
concert_singer,Multi Agent,32,19,59.4%,9.4
concert_singer,Multi Agent RAG,32,18,56.2%,23.8
world_1,Single Agent,84,37,44.0%,2.9
world_1,Multi Agent,84,44,52.4%,10.1
world_1,Multi Agent RAG,84,50,59.5%,11.4
dog_kennels,Single Agent,46,29,63.0%,3.6
dog_kennels,Multi Agent,46,33,71.7%,10.7
dog_kennels,Multi Agent RAG,46,38,82.6%,17.9
car_1,Single Agent,58,23,39.7%,2.8
car_1,Multi Agent,58,16,27.6%,9.5
car_1,Multi Agent RAG,58,26,44.8%,21.2

COMBINED TOTALS,,,,,
ALL DATABASES,Single Agent,284,138,48.6%,3.3
ALL DATABASES,Multi Agent,284,151,53.2%,10.0
ALL DATABASES,Multi Agent RAG,284,172,60.6%,18.1
